"pair","method_code","b_fast","se_fast","pval_fast","b_native","se_native","pval_native","abs_beta_delta","abs_se_delta","abs_pval_delta","relative_se_delta"
448,"weighted_median",-0.420649714027763,0.126459132034853,0.000879854228213725,-0.420649714027763,0.124460403265046,0.000725418955114888,0,0.0019987287698065,0.000154435273098837,0.0160591538945128
448,"simple_mode",-0.0514408111556719,1.27588224315236,0.967938945896008,-0.0514408111556719,1.23016512968253,0.966748138542876,0,0.0457171134698291,0.00119080735313204,0.0371633956830065
448,"weighted_mode",-0.369782055528292,1.28850495256453,0.774856386968223,-0.369782055528292,1.15934514899464,0.750579659474688,0,0.129159803569893,0.0242767274935348,0.111407550790114
449,"ivw",-0.152784843994901,0.168023263004782,0.363187736149867,-0.152784843994901,0.168023263004782,0.363187736149868,8.32667268468867e-17,1.38777878078145e-16,1.66533453693773e-16,8.25944429338899e-16
449,"egger",-0.0409934680566948,0.311995448044906,0.89579569048158,-0.040993468056695,0.311995448044906,0.89579569048158,1.59594559789866e-16,0,3.33066907387547e-16,0
449,"weighted_median",0.0170017419131567,0.118236477562882,0.885662834663304,0.0170017419131567,0.11778506259347,0.885227663016001,0,0.000451414969412409,0.000435171647302557,0.00383253155767679
449,"simple_mode",-0.111894601980645,1.48301870390725,0.940042265870613,-0.111894601980645,1.4549621643527,0.938888363894154,0,0.0280565395545556,0.00115390197645904,0.0192833464965309
449,"weighted_mode",-0.111894601980645,1.44696871522364,0.938551445378135,-0.111894601980645,1.40224398870845,0.936595679378992,0,0.0447247265151935,0.00195576599914304,0.0318951101772151
450,"ivw",0.0989375544477747,0.146115993673776,0.498332022518585,0.0989375544477747,0.146115993673776,0.498332022518585,0,2.77555756156289e-17,1.66533453693773e-16,1.8995576676977e-16
450,"egger",-0.0811052103124939,0.242341996552017,0.73874800051182,-0.0811052103124939,0.242341996552017,0.73874800051182,4.16333634234434e-17,0,2.22044604925031e-16,0
450,"weighted_median",-0.19304177452155,0.10864636568995,0.0756028001855704,-0.19304177452155,0.110251997001069,0.0799607101182851,0,0.00160563131111922,0.00435790993271475,0.0145632855167572
450,"simple_mode",0.0177928457802547,2.35128579846112,0.993980845677381,0.0177928457802547,2.57339192356265,0.994500342317454,0,0.222106125101527,0.000519496640073558,0.0863087052803211
450,"weighted_mode",0.0177928457802547,2.34646868576808,0.993968489074091,0.0177928457802547,2.51063543626754,0.994362873764962,0,0.164166750499462,0.000394384690870386,0.0653885259994264
451,"ivw",0.0399334912542735,0.094295661850387,0.671936080216706,0.0399334912542736,0.094295661850387,0.671936080216706,4.16333634234434e-17,4.16333634234434e-17,1.11022302462516e-16,4.4151939343191e-16
451,"egger",0.0471168941684724,0.145603720875301,0.747087752750093,0.0471168941684725,0.145603720875301,0.747087752750092,1.04083408558608e-16,2.77555756156289e-17,6.66133814775094e-16,1.90624081917519e-16
451,"weighted_median",0.0357236820130312,0.0896039788495587,0.690125982107037,0.0357236820130312,0.086143000958858,0.678360006635789,0,0.00346097789070071,0.0117659754712478,0.0401771223683475
451,"simple_mode",0.0861618061155603,0.185256073288435,0.643110864337482,0.0861618061155612,0.17606562084717,0.625900109206643,8.88178419700125e-16,0.00919045244126424,0.0172107551308388,0.0521990175994766
451,"weighted_mode",0.0474068810652561,0.0908052439395088,0.603044984894588,0.047406881065257,0.0974693624242907,0.628013082742147,8.88178419700125e-16,0.00666411848478185,0.0249680978475597,0.0683714176334969
452,"ivw",-0.127719934687613,0.0961445739885413,0.18404090795296,-0.127719934687613,0.0961445739885413,0.184040907952959,8.32667268468867e-17,4.16333634234434e-17,8.32667268468867e-17,4.33028736789715e-16
452,"egger",0.158146941279564,0.142234732838013,0.26952305136342,0.158146941279563,0.142234732838012,0.269523051363421,3.88578058618805e-16,5.55111512312578e-17,1.11022302462516e-15,3.90278451146515e-16
452,"weighted_median",0.125070169340948,0.0927703842200398,0.177603986963265,0.125070169340948,0.0933871882896357,0.180484500037501,0,0.000616804069595925,0.00288051307423526,0.00660480394465821
452,"simple_mode",0.134578341708621,0.409517298665986,0.743285918351448,0.134578341708621,0.392342645006347,0.732477854114861,0,0.0171746536596388,0.0108080642365871,0.0437746288307786
452,"weighted_mode",0.134578341708621,0.383103553394714,0.726287020930141,0.134578341708621,0.355985059899283,0.70638613900165,0,0.0271184934954319,0.0199008819284907,0.0761787404873239
453,"ivw",0.058937597611019,0.0953719190275707,0.536590878669219,0.058937597611019,0.0953719190275707,0.536590878669219,2.08166817117217e-17,1.38777878078145e-17,1.11022302462516e-16,1.45512305396755e-16
453,"egger",0.0186229564800177,0.148706796540352,0.900653484277491,0.0186229564800175,0.148706796540352,0.900653484277492,2.0122792321331e-16,2.77555756156289e-17,9.99200722162641e-16,1.86646315174286e-16
453,"weighted_median",0.0316974092209613,0.0948013730348775,0.738110926896767,0.0316974092209613,0.09503823055569,0.73873974168042,2.08166817117217e-17,0.000236857520812553,0.000628814783652731,0.00249223411912915
453,"simple_mode",0.176561732557045,0.738585737862115,0.811667679548163,0.176561732557045,0.683920875376879,0.796937431728609,0,0.0546648624852358,0.0147302478195545,0.0799286356848113
453,"weighted_mode",0.00171332358350679,0.693640817094668,0.998035264984866,0.00171332358350679,0.66066167549236,0.997937188869477,0,0.032979141602308,9.80761153892562e-05,0.0499183512918774
454,"ivw",0.0338410770360944,0.139909893733148,0.8088749646791,0.0338410770360944,0.139909893733148,0.8088749646791,1.38777878078145e-17,2.77555756156289e-17,1.11022302462516e-16,1.98381793274516e-16
454,"egger",0.156385876782044,0.202023484223471,0.441154814096871,0.156385876782045,0.202023484223471,0.44115481409687,4.16333634234434e-16,1.11022302462516e-16,9.99200722162641e-16,5.49551468678298e-16
454,"weighted_median",0.0427927996609455,0.113256961246446,0.705550838160716,0.0427927996609455,0.10995299116024,0.697134288289197,1.38777878078145e-17,0.00330397008620563,0.0084165498715193,0.0300489331971931
454,"simple_mode",0.248669911993048,0.837020696915217,0.767158856178544,0.248669911993048,0.909939892992731,0.785332272467727,0,0.0729191960775147,0.0181734162891823,0.0801362778344495
454,"weighted_mode",0.248669911993048,0.836719639421762,0.767077543678867,0.248669911993048,0.885016136214637,0.779443882859814,0,0.0482964967928753,0.0123663391809472,0.0545713177608801
