"pair","method_code","b_fast","se_fast","pval_fast","b_native","se_native","pval_native","abs_beta_delta","abs_se_delta","abs_pval_delta"
239,"weighted_mode",0.489076956818966,25.4125129746424,0.984654866924733,0.489076956818966,39.414446482697,0.990105848773616,0,14.0019335080546,0.00545098184888293
2390,"egger",-0.0266954847326565,0.067536342160688,0.692851093165364,-0.0266954847326564,0.067536342160688,0.692851093165364,5.55111512312578e-17,4.16333634234434e-17,4.44089209850063e-16
2390,"ivw",-0.0212684947972629,0.0498614147348415,0.669705539546425,-0.0212684947972628,0.0498614147348415,0.669705539546425,7.28583859910259e-17,4.16333634234434e-17,7.7715611723761e-16
2390,"simple_mode",0.207173375459293,10.6302272761443,0.984460688280518,0.207173375459293,11.3219268110652,0.985409934211676,0,0.691699534920906,0.00094924593115786
2390,"weighted_median",0.00467623434685058,0.0415310553683505,0.91035078699729,0.00467623434685058,0.0367098012587232,0.898636629636127,8.67361737988404e-19,0.00482125410962735,0.011714157361164
2390,"weighted_mode",0.207173375459293,10.5738767916302,0.984377886510127,0.207173375459293,12.4974926648017,0.986782203582291,0,1.92361587317152,0.00240431707216371
2391,"egger",-0.240085337990714,0.0791577733611311,0.00257999527012325,-0.240085337990714,0.0791577733611311,0.00257999527012323,5.55111512312578e-17,4.16333634234434e-17,1.73472347597681e-17
2391,"ivw",-0.207761307515338,0.0554473412374823,0.000178960544017139,-0.207761307515339,0.0554473412374823,0.000178960544017136,3.88578058618805e-16,4.16333634234434e-17,2.92734586571086e-18
2391,"simple_mode",-0.298668412367518,35.1999486923492,0.993234342847925,-0.298668412367518,34.869771988515,0.993170281406086,0,0.33017670383412,6.4061441839458e-05
2391,"weighted_median",-0.0312486192195281,0.0466412820789158,0.502872001500476,-0.0312486192195282,0.041682527815455,0.453446563147556,4.5102810375397e-17,0.0049587542634608,0.04942543835292
2391,"weighted_mode",-0.298668412367518,35.1999486923492,0.993234342847925,-0.298668412367518,29.9746574205409,0.99205496511722,0,5.22529127180823,0.00117937773070498
2392,"egger",0.123204391001687,0.120492178376679,0.307160939285056,0.123204391001687,0.12049217837668,0.307160939285056,1.80411241501588e-16,4.16333634234434e-17,7.7715611723761e-16
2392,"ivw",0.0697829998758115,0.0852890819925007,0.413246522912004,0.0697829998758115,0.0852890819925008,0.413246522912005,0,9.71445146547012e-17,3.88578058618805e-16
2392,"simple_mode",-0.93136099341399,74.8807337080601,0.990082443670919,-0.93136099341399,69.7797642344422,0.989357502225928,0,5.10096947361787,0.000724941444990801
2392,"weighted_median",0.0551890722336416,0.0501028728833837,0.270672525855827,0.0551890722336416,0.0472836005009007,0.243132567671568,0,0.002819272382483,0.0275399581842591
2392,"weighted_mode",-0.93136099341399,75.2358222438912,0.990129248898618,-0.93136099341399,58.8942752770772,0.98739059007162,0,16.341546966814,0.0027386588269982
2393,"egger",-0.0268923228391428,0.0746115345272784,0.718715925172356,-0.0268923228391428,0.0746115345272784,0.718715925172356,4.85722573273506e-17,1.38777878078145e-17,5.55111512312578e-16
2393,"ivw",0.0252535964481199,0.053536033613378,0.637132277798434,0.0252535964481199,0.053536033613378,0.637132277798434,0,2.77555756156289e-17,2.22044604925031e-16
2393,"simple_mode",-0.128338667774612,28.1117006886184,0.996359702799653,-0.128338667774612,27.866773197556,0.996327707614501,0,0.244927491062345,3.19951851526223e-05
2393,"weighted_median",-0.0271035713512858,0.0390067013364287,0.487153087027216,-0.0271035713512858,0.042064626324071,0.519360376647618,0,0.00305792498764226,0.0322072896204025
2393,"weighted_mode",-0.128338667774612,28.1222351937999,0.996361066434603,-0.128338667774612,22.7173141671062,0.99549529688137,0,5.40492102669368,0.000865769553233586
2394,"egger",0.104727584664879,0.0782311993460214,0.181434680658114,0.104727584664879,0.0782311993460215,0.181434680658113,1.38777878078145e-16,6.93889390390723e-17,2.22044604925031e-16
2394,"ivw",0.0588793532635588,0.0572794517741142,0.303982046895016,0.058879353263559,0.0572794517741142,0.303982046895016,1.11022302462516e-16,6.93889390390723e-17,2.77555756156289e-16
2394,"simple_mode",0.773864586945008,22.3738829615842,0.972425683495674,0.773864586945008,23.2827410495812,0.973501660854215,0,0.908858087997025,0.0010759773585417
2394,"weighted_median",-0.167497589722984,0.0419430799173869,6.51188335057182e-05,-0.167497589722984,0.0399172527280243,2.71526206533059e-05,2.77555756156289e-17,0.00202582718936266,3.79662128524123e-05
2394,"weighted_mode",-0.386933979612287,22.3738829615842,0.98621071482012,-0.386933979612287,22.4979383139552,0.986286742456902,0,0.124055352370995,7.60276367821611e-05
2395,"egger",0.132325585634412,0.0791208809588381,0.0952218101027789,0.132325585634412,0.0791208809588381,0.0952218101027793,1.94289029309402e-16,0,4.30211422042248e-16
2395,"ivw",0.0935519822734686,0.0544249334399188,0.0856293558430282,0.0935519822734687,0.0544249334399188,0.0856293558430282,4.16333634234434e-17,2.08166817117217e-17,0
2395,"simple_mode",0.287437958102518,28.7652071215073,0.99203222034292,0.287437958102518,22.0670324938842,0.989613820588264,0,6.69817462762311,0.00241839975465608
